workId,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath
work-a7413b6e35e0d316a538,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 1/6=0.167 (<0.600), short by 3 known axes; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 1. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota. The title page is undated; evidencePublishedAt uses the canonical exact volume-1 date 2009-01-13 as a fallback.",講談社 となりの怪物くん title page,https://www.kodansha.co.jp/titles/1000004499,2009-01-13,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784063655407 and entry volumes 1-3; recover any three recurring Narrative mechanisms without recasting relationship recognition as progression"
work-a7e0062c7153978fc6fe,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 2/6=0.333 (<0.600), short by 2 known axes; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 2. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota. The volume-3 page is undated; evidencePublishedAt uses its canonical paper release date 2010-12-10 as a fallback.",小学館eコミックストア 失恋ショコラティエ 3巻 official volume page,https://e-comi.shogakukan.co.jp/books/091334640000d0000000,2010-12-10,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784091322609 and entry volumes 1-3; recover any two recurring Narrative mechanisms beyond romantic maneuvering"
work-a960372ed5efa4031896,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 3/6=0.500 (<0.600), short by 1 known axis, and Tone 1/7=0.143 (<0.600), short by 4 known axes; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 4. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota.",小学館コミック シルバーマウンテン 3巻 official product page,https://shogakukan-comic.jp/book?isbn=9784098544530,2026-02-18,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784098542420 and entry volumes 1-3; recover one recurring Narrative mechanism and four sustained Tone observations"
work-aa6d796e2e04a55b94b1,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 3/6=0.500 (<0.600), short by 1 known axis, and Tone 3/7=0.429 (<0.600), short by 2 known axes; current final-art rows have Art 0/4=0.000 (<0.300), short by 2 known axes because all four Art rows remain unknown. Theme count is 2. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota.",少年画報社 惑星のさみだれ 3巻 official product page,https://www.shonengahosha.co.jp/book_Info.php?id=6115,2007-05-28,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784785926052 and entry volumes 1-3; recover one recurring Narrative mechanism and two sustained Tone observations; obtain a browser-rendered official six-page sample across two scene contexts with readable edition-mapped pages and Local Codex plus Gemini pixel quorum"
work-ae0ac8a5acfc5fbb7dd6,SOURCE_INFORMATION_UNAVAILABLE,"Finite official/authorized entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 2/6=0.333 (<0.600), short by 2 known axes, and Tone 2/7=0.286 (<0.600), short by 3 known axes; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 3. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota. Original-series evidence remains separate from the vertical full-color remake.",コアミックス 終末のワルキューレ official series page,https://catalog.coamix.co.jp/record-of-ragnarok/,2017-11-25,2026-08-25,"Recheck original-series evidence with a newly authorized direct rights-holder internal preview or paid reader mapped to representative ISBN 9784199804953 and entry volumes 1-3; recover two recurring Narrative mechanisms and three sustained Tone observations without using the vertical full-color remake"
work-b2be97620643b3342637,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 3/6=0.500 (<0.600), short by 1 known axis, and Tone 4/7=0.571 (<0.600), short by 1 known axis; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 1. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota.",小学館コミック アオイホノオ 3巻 official product page,https://shogakukan-comic.jp/book?isbn=9784091221094,2009-12-12,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784091512680 and entry volumes 1-3; recover one recurring Narrative mechanism and one sustained Tone observation beyond comedy and creative stress"
work-b708734262fb9b67f948,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 2/6=0.333 (<0.600), short by 2 known axes, and Tone 4/7=0.571 (<0.600), short by 1 known axis; current final-art rows have Art 0/4=0.000 (<0.300), short by 2 known axes because all four Art rows remain unknown. Theme count is 0, short by 1 existing dictionary Theme. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota. The title page is undated; evidencePublishedAt uses the exact standard-volume product date 2009-08-21 as a fallback.",講談社 ねこだらけ title page,https://www.kodansha.co.jp/titles/1000004781,2009-08-21,2026-08-25,"Recheck complete-work official material for two recurring Narrative mechanisms, one sustained Tone observation, and one existing dictionary Theme; obtain an authorized six-page sample across two scene contexts with readable edition-mapped pages and Local Codex plus Gemini pixel quorum"
work-bd42208a660912d9d95d,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 2/6=0.333 (<0.600), short by 2 known axes, and Tone 4/7=0.571 (<0.600), short by 1 known axis; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 2. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota.",講談社 路地恋花 3巻 official product page,https://www.kodansha.co.jp/comic/products/0000029829,2011-09-07,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784063106282 and entry volumes 1-3; recover two recurring Narrative mechanisms and one sustained Tone observation"
work-c5e8c957903bf1832dc5,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 2/6=0.333 (<0.600), short by 2 known axes; final-art rows have Art 3/4=0.750 (>=0.300), with no Art shortfall. Theme count is 1. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota. The evidence publication date uses the representative paper volume-3 date 2012-05-18; the electronic page was distributed 2014-05-15.",集英社 日々ロック 3巻 official electronic page,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08879337879034315501,2012-05-18,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784088790343 and entry volumes 1-3; recover two recurring Narrative mechanisms beyond gradual band growth and ordinary arc changes"
work-c805c5b70111f75d6fb5,SOURCE_INFORMATION_UNAVAILABLE,"Finite official entry-range recovery and bounded independent-review routes were exhausted for the residual text gaps. Materialized final text has Narrative 3/6=0.500 (<0.600), short by 1 known axis, and Tone 4/7=0.571 (<0.600), short by 1 known axis; final-art rows have Art 4/4=1.000 (>=0.300), with no Art shortfall. Theme count is 2. Bounded user-review retry found no qualifying independent-review pair (qualified reviewers 0; accepted candidate leads 0). Unknown is not a low value and no value was filled to meet a quota. The volume-3 page is undated; evidencePublishedAt uses the canonical paper volume-3 publication year 2008 as a fallback. Disappearance is not treated as confirmed death.",小学館eコミックストア 海獣の子供 3巻 official volume page,https://e-comi.shogakukan.co.jp/books/091884220000d0000000,2008,2026-08-25,"Recheck with a newly authorized direct official internal preview or paid reader mapped to representative ISBN 9784091883681 and entry volumes 1-3; recover one recurring Narrative mechanism and one sustained Tone observation without treating mystery or disappearance as proof"
