id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g2-fresh-a-bib-medalist,medalist,work,medalist,publisher,https://www.kodansha.co.jp/comic/products/0000344550,2026-08-12T09:30:00+09:00,g2-fresh-a-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-a-annotation-medalist,medalist,work,medalist,model,https://www.kodansha.co.jp/comic/products/0000344550/trial,2026-08-12T10:00:00+09:00,g2-fresh-a-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-a-art-medalist,medalist,work,medalist,publisher,https://www.kodansha.co.jp/comic/products/0000344550/trial,2026-08-12T10:30:00+09:00,g2-fresh-a-art-observation-v1,false,0.86,Edge CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-a-bib-chihayafuru,chihayafuru,work,chihayafuru,publisher,https://www.kodansha.co.jp/comic/products/0000031259,2026-08-12T09:30:00+09:00,g2-fresh-a-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-a-annotation-chihayafuru,chihayafuru,work,chihayafuru,model,https://www.kodansha.co.jp/comic/products/0000031259/trial,2026-08-12T10:00:00+09:00,g2-fresh-a-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-a-art-chihayafuru,chihayafuru,work,chihayafuru,publisher,https://www.kodansha.co.jp/comic/products/0000031259/trial,2026-08-12T10:30:00+09:00,g2-fresh-a-art-observation-v1,false,0.86,Edge CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-a-bib-that-time-i-got-reincarnated-as-a-slime,that-time-i-got-reincarnated-as-a-slime,work,that-time-i-got-reincarnated-as-a-slime,publisher,https://www.kodansha.co.jp/comic/products/0000045267,2026-08-12T09:30:00+09:00,g2-fresh-a-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime,that-time-i-got-reincarnated-as-a-slime,work,that-time-i-got-reincarnated-as-a-slime,model,https://www.kodansha.co.jp/comic/products/0000045267/trial,2026-08-12T10:00:00+09:00,g2-fresh-a-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-a-art-that-time-i-got-reincarnated-as-a-slime,that-time-i-got-reincarnated-as-a-slime,work,that-time-i-got-reincarnated-as-a-slime,publisher,https://www.kodansha.co.jp/comic/products/0000045267/trial,2026-08-12T10:30:00+09:00,g2-fresh-a-art-observation-v1,false,0.86,Edge CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-a-bib-welcome-to-the-ballroom,welcome-to-the-ballroom,work,welcome-to-the-ballroom,publisher,https://www.kodansha.co.jp/comic/products/0000043342,2026-08-12T09:30:00+09:00,g2-fresh-a-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 대표 1권 ISBN을 대조한 근거; 패널 검수 전
