workId,axisId,state,value,confidence,refs,observation,limitation
work-c9e32218e26c6c6292f9,artRealism,known,2,0.88,"vol2-P0011;vol2-P0013;vol2-P0015;vol2-P0020","Recognizable school-age bodies and coherent interior perspective persist across both contexts while enlarged mouths and abrupt comic reaction faces remain conventional shonen stylization rather than a consistently deformed figure system.","Exact official volume 2 body sample only; six selected pages across apartment or delivery and school-council contexts do not establish later-volume style."
work-c9e32218e26c6c6292f9,artDensity,known,2,0.87,"vol2-P0011;vol2-P0012;vol2-P0015;vol2-P0020","Room fixtures furniture cafeteria and meeting-room depth balance large white reaction fields and simplified close-ups across both contexts.","Exact official volume 2 body sample only; density is bounded to six selected pages."
work-c9e32218e26c6c6292f9,visualSoftness,known,1,0.88,"vol2-P0013;vol2-P0014;vol2-P0015;vol2-P0020","Jagged hair angular mouths heavy black fills and hard radiating emphasis lines recur across both contexts; clean contour curves keep the treatment above the fully rough anchor but below neutral.","Exact official volume 2 monochrome body sample only; cover and color rendering were excluded."
work-c9e32218e26c6c6292f9,motionImpact,unknown,,,"vol2-P0011;vol2-P0012;vol2-P0013;vol2-P0014;vol2-P0015;vol2-P0020","The selected pages contain isolated gestures and emphasis lines but no accepted continuous start-development-impact-resolved sequence.","Daybreak verified motionGateAttemptable=false; unknown is not a low value or a blocker."
work-f1d22b68efa7fbd501ee,artRealism,known,1,0.88,"vol2-reader-P007;vol2-reader-P008;vol2-reader-P009;vol2-reader-P010;vol2-reader-P011;vol2-reader-P012","Strong caricature with compressed heads simple facial marks and squat bodies persists across both chapters while recognizable domestic objects and spaces keep the complete sample between anchors 0 and 2.","Exact official volume 2 reader pages only; the sample covers chapters 26 and 27 rather than the full entry range."
work-f1d22b68efa7fbd501ee,artDensity,known,1,0.90,"vol2-reader-P007;vol2-reader-P008;vol2-reader-P010;vol2-reader-P011;vol2-reader-P012","Broad white fields sparse line work and settings reduced to a few boundary lines or props dominate the bedroom party street and living-room pages.","Exact official volume 2 reader pages only; density is bounded to six pages across two chapters."
work-f1d22b68efa7fbd501ee,visualSoftness,known,3,0.88,"vol2-reader-P007;vol2-reader-P009;vol2-reader-P011;vol2-reader-P012","Rounded heads organic contours gentle curves and light screentone remain soft across both chapters while crude simplification and solid blacks keep the treatment below anchor 4.","Exact official volume 2 monochrome pages only; color rendering is not evaluated."
work-f1d22b68efa7fbd501ee,motionImpact,unknown,,,"vol2-reader-P007;vol2-reader-P008;vol2-reader-P009;vol2-reader-P010;vol2-reader-P011;vol2-reader-P012","Walking sitting and hand gestures are isolated and do not form an accepted continuous start-development-impact-resolved sequence.","Daybreak verified motionGateAttemptable=false; unknown is not a low value or a blocker."
work-f59be454d59478f33914,artRealism,known,2,0.87,"vol2-P008;vol2-P009;vol2-P010;vol3-P009;vol3-P010;vol3-P011","Chibi protagonists with enlarged eyes remain integrated into realistically observed plants owl anatomy masonry and spatial construction across forest and town contexts.","Exact licensed volume 2 and volume 3 body pages only; the entry-scope sample does not establish later-series style."
work-f59be454d59478f33914,artDensity,known,4,0.92,"vol2-P008;vol2-P009;vol2-P010;vol3-P009;vol3-P010;vol3-P011","Dense foliage rock feather and clothing texture in the forest and individual bricks roof tiles beams paving and depth cues in town sustain extreme line and background information density in every selected context.","Exact licensed volume 2 and volume 3 monochrome body pages only; the value does not use cover decoration."
work-f59be454d59478f33914,visualSoftness,known,2,0.86,"vol2-P008;vol2-P010;vol3-P009;vol3-P011","Rounded faces and flowing character silhouettes are consistently counterbalanced by rough stone dense foliage feather hatching heavy blacks and sharp environmental texture.","Exact licensed volume 2 and volume 3 monochrome body pages only; neither softness endpoint dominates both contexts."
work-f59be454d59478f33914,motionImpact,unknown,,,"vol2-P008;vol2-P009;vol2-P010;vol3-P009;vol3-P010;vol3-P011","The owl reveal and walking poses lack an accepted continuous start-development-impact-resolved sequence.","Daybreak verified motionGateAttemptable=false; unknown is not a low value or a blocker."
work-f6fa4c2d3a7e1dc5257b,artRealism,known,1,0.88,"cmoa-74548-P007;cmoa-74548-P008;cmoa-74548-P009;cmoa-74548-P010;cmoa-74548-P012;cmoa-74548-P013","The protagonist's oversized head circular eyes tiny mouth and simplified limbs persist across both episodes while food counters and storefronts add natural detail between anchors 0 and 2.","The accepted Cmoa volume 1 body bridge covers two opening episodes; refs are licensed-reader positions rather than asserted print folios."
work-f6fa4c2d3a7e1dc5257b,artDensity,known,2,0.88,"cmoa-74548-P007;cmoa-74548-P009;cmoa-74548-P012;cmoa-74548-P013","Restaurant counters kitchen tools dishes food texture pavement foliage and storefront details recur while close-ups preserve open fields, producing balanced density across both episodes.","The accepted Cmoa volume 1 body bridge covers six pages and exactly two contexts."
work-f6fa4c2d3a7e1dc5257b,visualSoftness,known,3,0.88,"cmoa-74548-P007;cmoa-74548-P008;cmoa-74548-P010;cmoa-74548-P012;cmoa-74548-P013","Smooth rounded contours gentle screentones and a relaxed presentation remain soft in both episodes, but deliberately simple rather than consistently polished rendering keeps the sample below anchor 4.","The accepted Cmoa volume 1 body bridge covers the salmon and yakitori episodes only."
work-f6fa4c2d3a7e1dc5257b,motionImpact,unknown,,,"cmoa-74548-P007;cmoa-74548-P008;cmoa-74548-P009;cmoa-74548-P010;cmoa-74548-P012;cmoa-74548-P013","Eating ordering and the street-to-counter transition do not form an accepted continuous start-development-impact-resolved sequence.","Daybreak verified motionGateAttemptable=false and exactly two static contexts; unknown is not a low value or a blocker."
