workId,axisId,state,value,confidence,refs,observation,limitation
work-29806fe5f9633b940747,artRealism,known,2,0.84,"reader-step-05;reader-step-12;reader-step-19","Student bodies classroom objects weapons and hands retain coherent proportions while simplified faces and the highly abstract teacher remain ordinary manga stylization.","Only six readable pages from three early volume-one contexts were reviewed; later visual changes were not assessed."
work-29806fe5f9633b940747,artDensity,known,3,0.86,"reader-step-05;reader-step-12;reader-step-19","Crowded classroom staging compact panel information weapon details screentone and repeated speed fields keep visual information above the balanced anchor across all three spreads.","Some dialogue faces and effect centers retain open white areas so the maximum density anchor is not sustained."
work-29806fe5f9633b940747,visualSoftness,known,2,0.82,"reader-step-05;reader-step-12;reader-step-19","Clean rounded character contours alternate with hard black uniforms angular effects and dense action hatching producing a neutral mixed treatment.","The sample combines quiet classroom panels and sharp action accents and does not sustain either endpoint."
work-29806fe5f9633b940747,motionImpact,unknown,,,"reader-step-05;reader-step-12;reader-step-19","The selected official spreads contain projectiles and combat poses but the preflight exposes no exact bounded continuous action sequence.","Isolated action panels cannot establish start-development-impact-end motion; unknown does not imply a low value."
work-319e39a597d16251efc9,artRealism,unknown,,,"official-preview-timeout;vol1-ISBN-9784047261457;pages=0;contexts=0","The exact official volume-one product and rights-holder sample bridge were resolved but no readable internal page sample was returned.","Trial navigation and a fresh snapshot each exceeded 30 seconds; no partial page was retained and unknown does not imply a low value."
work-319e39a597d16251efc9,artDensity,unknown,,,"official-preview-timeout;vol1-ISBN-9784047261457;pages=0;contexts=0","The exact official volume-one product and rights-holder sample bridge were resolved but no readable internal page sample was returned.","Trial navigation and a fresh snapshot each exceeded 30 seconds; no partial page was retained and unknown does not imply a low value."
work-319e39a597d16251efc9,visualSoftness,unknown,,,"official-preview-timeout;vol1-ISBN-9784047261457;pages=0;contexts=0","The exact official volume-one product and rights-holder sample bridge were resolved but no readable internal page sample was returned.","Trial navigation and a fresh snapshot each exceeded 30 seconds; no partial page was retained and unknown does not imply a low value."
work-319e39a597d16251efc9,motionImpact,unknown,,,"official-preview-timeout;vol1-ISBN-9784047261457;pages=0;contexts=0","No readable official internal page or continuous action sequence was available for the mapped volume-one sample.","Trial navigation and a fresh snapshot each exceeded 30 seconds; no partial page was retained and unknown is not a blocker."
work-3ba6e8e3cfdec674eae3,artRealism,known,4,0.94,"reader-step-01;reader-step-04;reader-step-06","Anatomical hands eyes torsos and faces use observed structure and mature proportions while the city apartment equipment and interiors maintain realistic scale and perspective.","The maximum anchor is limited to six official early volume-one pages and does not assert later-volume consistency."
work-3ba6e8e3cfdec674eae3,artDensity,known,4,0.91,"reader-step-01;reader-step-04;reader-step-06","Dense city architecture mechanical objects fabric folds anatomy hatching interior geometry and layered screentone repeatedly fill the sampled panels with fine information.","A few portrait panels contain simpler fields but high line background and texture density is sustained across all three contexts."
work-3ba6e8e3cfdec674eae3,visualSoftness,known,0,0.91,"reader-step-01;reader-step-04;reader-step-06","Angular facial construction exposed anatomy coarse hatching heavy blacks and hard architectural edges consistently dominate the sample.","The opening color accents do not overcome the rough high-contrast treatment sustained in the internal monochrome pages."
work-3ba6e8e3cfdec674eae3,motionImpact,unknown,,,"reader-step-01;reader-step-04;reader-step-06","The selected official pages show static city identity training and visitor contexts without a bounded continuous action sequence.","No exact start-development-impact-end sequence was available; poses and equipment cannot support a numeric value."
work-40ea287aae6305289cf6,artRealism,known,3,0.86,"page-005;page-006;page-015;page-016;page-025;page-026","Bodies hands clothing food and rooms use coherent scale and anatomy while enlarged eyes and polished facial construction remain visibly manga-stylized.","The value is limited to six official first-chapter pages and does not establish later visual development."
work-40ea287aae6305289cf6,artDensity,known,2,0.82,"page-005;page-006;page-015;page-016;page-025;page-026","Detailed rooms patterned clothing food and hand close-ups balance against large white fields and restrained backgrounds across the three sampled contexts.","Density varies from a fully constructed room to sparse portrait and memory panels so neither endpoint is sustained."
work-40ea287aae6305289cf6,visualSoftness,known,3,0.88,"page-005;page-006;page-015;page-016;page-025;page-026","Fine hair lines smooth facial contours polished eyes light screentone and clean clothing edges create a consistently soft tendency.","Bold black framing and comedic expressions prevent a sustained maximum-softness judgment."
work-40ea287aae6305289cf6,motionImpact,unknown,,,"page-005;page-006;page-015;page-016;page-025;page-026","The selected official pages contain everyday gestures but no exact bounded continuous action sequence.","No start-development-impact-end reference was present and isolated gestures cannot support a numeric value."
work-550854424fc9cc94d585,artRealism,known,2,0.82,"reader-step-01;reader-step-05;reader-step-09","Adult bodies city spaces vehicles food and rooms are proportionally coherent while large eyes simplified noses and compressed reactions retain ordinary manga stylization.","Only six readable pages from the mapped first episode were reviewed; later visual changes were not assessed."
work-550854424fc9cc94d585,artDensity,known,3,0.83,"reader-step-01;reader-step-05;reader-step-09","Compact panel layouts city and kitchen detail patterned clothing food textures handwriting and informational effects keep the sample above balanced density.","One geography-memory spread uses broad open fields so the maximum density anchor is not sustained."
work-550854424fc9cc94d585,visualSoftness,known,3,0.84,"reader-step-01;reader-step-05;reader-step-09","Rounded faces large smooth eyes fine hair contours and light screentone give domestic and food scenes a soft treatment.","Speed lines and comic reaction marks add harder accents and keep the sample below the maximum anchor."
work-550854424fc9cc94d585,motionImpact,unknown,,,"reader-step-01;reader-step-05;reader-step-09","The selected official spreads show domestic and memory contexts but no exact bounded continuous action sequence.","Effect marks and gestures do not establish start-development-impact-end motion."
work-5baea1ce0e7e74df34b9,artRealism,known,3,0.87,"reader-step-05;reader-step-12;reader-step-19","Adult and child proportions facial structure clothing riverbank streets and apartment objects remain plausible while selective simplification preserves manga stylization.","The value represents six official early volume-one pages and does not establish later-volume consistency."
work-5baea1ce0e7e74df34b9,artDensity,known,3,0.85,"reader-step-05;reader-step-12;reader-step-19","Textured outdoor settings panel-rich conversations interior fixtures clothing folds and hard black fields provide above-balanced visual information across contexts.","Several face panels and white gutters remain open so the maximum density anchor is not sustained."
work-5baea1ce0e7e74df34b9,visualSoftness,known,1,0.85,"reader-step-05;reader-step-12;reader-step-19","Angular mature faces coarse shadow hatching abrupt black fields and tense effect marks create a distinctly hard treatment moderated by cleaner child scenes.","The sample is rougher than neutral but the clean street sequence prevents a fully sustained roughest endpoint."
work-5baea1ce0e7e74df34b9,motionImpact,unknown,,,"reader-step-05;reader-step-12;reader-step-19","An assault appears in the selected official pages but the preflight does not expose a complete bounded continuous sequence.","An isolated strike without exact start development impact and resolved endpoint cannot support a numeric value."
work-672862529a341488245b,artRealism,known,3,0.84,"reader-step-08;reader-step-12;reader-step-19","Human proportions hands clothing and partnered dance posture are plausibly constructed while elongated faces and expressive eyes remain visibly stylized.","Only six readable pages from three early volume-one contexts were reviewed."
work-672862529a341488245b,artDensity,known,1,0.86,"reader-step-08;reader-step-12;reader-step-19","Large white fields sparse environmental rendering and lightly toned figures dominate despite readable school lockers and clothing detail.","The value falls between the sparse endpoint and balanced anchor because some group panels retain setting information."
work-672862529a341488245b,visualSoftness,known,3,0.87,"reader-step-08;reader-step-12;reader-step-19","Delicate facial lines smooth hair contours light tones and flowing dance poses sustain a soft polished tendency across all three spreads.","Black hair masses and a few angular reactions prevent a maximum-softness judgment."
work-672862529a341488245b,motionImpact,unknown,,,"reader-step-08;reader-step-12;reader-step-19","Partnered dance poses appear but the selected official pages do not expose a bounded continuous action sequence.","A pose or panel-to-panel gesture cannot establish exact start-development-impact-end motion."
work-680837b0db4ec9d2932c,artRealism,known,2,0.83,"reader-step-04;reader-step-08;reader-step-12","Bodies workplace interiors commute spaces and props are coherent while enlarged expressive eyes and elastic comedy faces remain ordinary manga stylization.","The six sampled pages cover three early volume-one contexts and do not establish later-volume consistency."
work-680837b0db4ec9d2932c,artDensity,known,3,0.86,"reader-step-04;reader-step-08;reader-step-12","Layered panels detailed hero suits room fixtures train passengers dialogue and reaction effects keep information above the balanced anchor throughout the sample.","Some close-up and transition panels remain visually open so the maximum density anchor is not sustained."
work-680837b0db4ec9d2932c,visualSoftness,known,2,0.82,"reader-step-04;reader-step-08;reader-step-12","Rounded character contours alternate with sharp hero equipment heavy black hair and angular comedy effects resulting in a neutral mixed treatment.","Neither soft domestic lines nor hard imagined-action accents dominate all three contexts."
work-680837b0db4ec9d2932c,motionImpact,unknown,,,"reader-step-04;reader-step-08;reader-step-12","The sample includes imagined hero poses and everyday gestures but no exact bounded continuous action sequence.","Hero composition and isolated motion marks cannot establish start-development-impact-end motion."
work-724c064d491faf4c7414,artRealism,known,3,0.85,"reader-step-08;reader-step-12;reader-step-15","Human anatomy age differences campus architecture tools and landscape retain plausible proportion while stylized students and microbes keep the work below full realism.","The judgment is limited to six official original-volume-one pages and excludes later shinsoban covers."
work-724c064d491faf4c7414,artDensity,known,4,0.90,"reader-step-08;reader-step-12;reader-step-15","Stonework crowds trees soil textures tools dense microbe fields effects and compact panels repeatedly sustain high line background and information density.","The maximum anchor is tied to these exact internal pages and is not inferred from the cover or series reputation."
work-724c064d491faf4c7414,visualSoftness,known,1,0.86,"reader-step-08;reader-step-12;reader-step-15","Angular faces strong black masses scratchy vegetation soil strokes and forceful effect marks produce a hard tendency despite clean student contours.","The cleaner campus dialogue pages moderate the rough treatment above the endpoint."
work-724c064d491faf4c7414,motionImpact,unknown,,,"reader-step-08;reader-step-12;reader-step-15","The selected shovel and soil-eruption panels do not expose an exact bounded sequence with a resolved endpoint.","Preflight motion eligibility is false and a partial action fragment cannot support a numeric value."
work-78d44d381562e37dd94a,artRealism,known,2,0.82,"reader-step-10;reader-step-16;reader-step-22","Adult bodies clothing restaurant and bedroom spaces remain coherent while enlarged glossy eyes slim facial construction and reaction faces retain clear shojo stylization.","Only six readable pages from three official early volume-one contexts were reviewed."
work-78d44d381562e37dd94a,artDensity,known,2,0.80,"reader-step-10;reader-step-16;reader-step-22","Restaurant objects flowers room geometry screentone and reaction layouts balance against broad white fields and lightly rendered domestic backgrounds.","Density changes with emotional emphasis and neither sparse nor high-density treatment is sustained."
work-78d44d381562e37dd94a,visualSoftness,known,4,0.88,"reader-step-10;reader-step-16;reader-step-22","Fine hair and eyelash lines smooth faces delicate screentone polished eyes and gentle tonal transitions consistently create a soft refined treatment.","Comedic black fields and burst lines appear but do not displace the sustained soft character rendering across the sample."
work-78d44d381562e37dd94a,motionImpact,unknown,,,"reader-step-10;reader-step-16;reader-step-22","The selected official pages show conversation and relationship reactions without an exact bounded continuous action sequence.","No start-development-impact-end reference was available and static reaction layouts cannot support a numeric value."
