workId,intendedCatalogRole,intendedOnboardingEligible,intendedRecommendationEligible,intendedLibraryOnly,promotionState,slotAuthority
fruits-basket,anchor,true,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:fruits-basket
inuyasha,anchor,true,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:inuyasha
space-brothers,anchor,true,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:space-brothers
blue-giant,bridge,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:blue-giant
blue-period,bridge,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:blue-period
the-apothecary-diaries,bridge,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:the-apothecary-diaries
dorohedoro,bridge,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:dorohedoro
sweat-and-soap,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:sweat-and-soap
a-condition-called-love,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:a-condition-called-love
she-loves-to-cook-and-she-loves-to-eat,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:she-loves-to-cook-and-she-loves-to-eat
my-brothers-husband,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:my-brothers-husband
our-dreams-at-dusk,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:our-dreams-at-dusk
nina-the-starry-bride,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:nina-the-starry-bride
baby-steps,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:baby-steps
capeta,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:capeta
yowamushi-pedal,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:yowamushi-pedal
moon-land,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:moon-land
giant-killing,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:giant-killing
dragon-head,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:dragon-head
kasane,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:kasane
homunculus,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:homunculus
fort-of-apocalypse,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:fort-of-apocalypse
a-brides-story,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:a-brides-story
isabella-bird-in-wonderland,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:isabella-bird-in-wonderland
arte,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:arte
thermae-romae,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:thermae-romae
knights-of-sidonia,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:knights-of-sidonia
saturn-apartments,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:saturn-apartments
origin,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:origin
accomplishments-of-the-dukes-daughter,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:accomplishments-of-the-dukes-daughter
the-heroic-legend-of-arslan,discovery,false,true,false,pending-human-or-authorized-model-panel-review,admission:fresh-b:the-heroic-legend-of-arslan
