position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-23a842306a70ec170a97","河畔の街のセリーヌ","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (河畔の街のセリーヌ)","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","강변 마을의 세리느 만화 리뷰;강변의 거리 세리느 리뷰","https://bookmeter.com/search?keyword=%E6%B2%B3%E7%95%94%E3%81%AE%E8%A1%97%E3%81%AE%E3%82%BB%E3%83%AA%E3%83%BC%E3%83%8C;https://reviewne.jp/comic"
"2","work-24bb011dccc8c1dd20ce","あまんちゅ！","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (あまんちゅ！)","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","아만츄 만화 리뷰;아만츄 다이빙 만화 리뷰","https://bookmeter.com/search?keyword=%E3%81%82%E3%81%BE%E3%82%93%E3%81%A1%E3%82%85%EF%BC%81;https://reviewne.jp/comic"
"3","work-25f4d6c9c2735279f479","界変の魔法使い","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (界変の魔法使い)","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","계변의 마법사 만화 리뷰;카이헨노 마호츠카이 리뷰","https://bookmeter.com/search?keyword=%E7%95%8C%E5%A4%89%E3%81%AE%E9%AD%94%E6%B3%95%E4%BD%BF%E3%81%84;https://reviewne.jp/comic"
"4","work-26e7c545d71636545e18","ギャングース","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ギャングース)","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","갱구스 만화 리뷰;갱구스 만화 1권 리뷰","https://bookmeter.com/search?keyword=%E3%82%AE%E3%83%A3%E3%83%B3%E3%82%B0%E3%83%BC%E3%82%B9;https://reviewne.jp/comic"
"5","work-28defed571261aa35b6d","クズの本懐","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (クズの本懐)","https://tsugimanga.jp/winner/2015/comics","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","쓰레기의 본망 만화 리뷰;쿠즈노혼카이 만화 리뷰","https://bookmeter.com/search?keyword=%E3%82%AF%E3%82%BA%E3%81%AE%E6%9C%AC%E6%87%90;https://reviewne.jp/comic"
"6","work-28ffbc90daf057b04687","僕の妻は感情がない","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (僕の妻は感情がない)","https://tsugimanga.jp/winner/2020/comics","2020","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","내 아내는 감정이 없다 만화 리뷰;보쿠노 츠마와 감정이 없다 리뷰","https://bookmeter.com/search?keyword=%E5%83%95%E3%81%AE%E5%A6%BB%E3%81%AF%E6%84%9F%E6%83%85%E3%81%8C%E3%81%AA%E3%81%84;https://reviewne.jp/comic"
"7","work-2922260bc2a45296514e","ワンダンス","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ワンダンス)","https://tsugimanga.jp/winner/2019/comics","2019","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","원댄스 만화 리뷰;원댄스 1권 리뷰","https://bookmeter.com/search?keyword=%E3%83%AF%E3%83%B3%E3%83%80%E3%83%B3%E3%82%B9;https://reviewne.jp/comic"
"8","work-2aa625102f57ef93a165","あるいとう","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (あるいとう)","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","아루이토우 만화 리뷰;아루이토 만화 리뷰","https://bookmeter.com/search?keyword=%E3%81%82%E3%82%8B%E3%81%84%E3%81%A8%E3%81%86;https://reviewne.jp/comic"
"9","work-2d1408ff9b83acc27724","極道めし","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (極道めし)","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","극도메시 만화 리뷰;극도메시 만화 1권 리뷰","https://bookmeter.com/search?keyword=%E6%A5%B5%E9%81%93%E3%82%81%E3%81%97;https://reviewne.jp/comic"
"10","work-2d99fb3c7efc4377b312","将来的に死んでくれ","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (将来的に死んでくれ)","https://tsugimanga.jp/winner/2017/comics","2017","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","장래적으로 죽어줘 만화 리뷰;쇼라이테키니 신데쿠레 리뷰","https://bookmeter.com/search?keyword=%E5%B0%86%E6%9D%A5%E7%9A%84%E3%81%AB%E6%AD%BB%E3%82%93%E3%81%A7%E3%81%8F%E3%82%8C;https://reviewne.jp/comic"
"11","work-2dbe24f60dff41c46619","ゆうやみ特攻隊","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ゆうやみ特攻隊)","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","유우야미 특공대 만화 리뷰;어둠 특공대 만화 리뷰","https://bookmeter.com/search?keyword=%E3%82%86%E3%81%86%E3%82%84%E3%81%BF%E7%89%B9%E6%94%BB%E9%9A%8A;https://reviewne.jp/comic"
"12","work-2f799932ece28aa8c553","ゆゆ式","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ゆゆ式)","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","유유시키 만화 리뷰;유유식 만화 리뷰","https://bookmeter.com/search?keyword=%E3%82%86%E3%82%86%E5%BC%8F;https://reviewne.jp/comic"
"13","work-2fb1efb7a8cb7dfd9530","ラウンダバウト","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ラウンダバウト)","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","라운더바우트 만화 리뷰;라운다바우트 만화 리뷰","https://bookmeter.com/search?keyword=%E3%83%A9%E3%82%A6%E3%83%B3%E3%83%80%E3%83%90%E3%82%A6%E3%83%88;https://reviewne.jp/comic"
"14","work-3080de07cac432363d5b","関根くんの恋","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (関根くんの恋)","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","세키네 군의 사랑 만화 리뷰;세키네군의 사랑 리뷰","https://bookmeter.com/search?keyword=%E9%96%A2%E6%A0%B9%E3%81%8F%E3%82%93%E3%81%AE%E6%81%8B;https://reviewne.jp/comic"
"15","work-31e7e4b93d21620f1717","嫁姑の拳","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (嫁姑の拳)","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","요메시우토노켄 만화 리뷰;며느리 시어머니의 권 만화 리뷰","https://bookmeter.com/search?keyword=%E5%AB%81%E5%A7%91%E3%81%AE%E6%8B%B3;https://reviewne.jp/comic"
