workId,intendedCatalogRole,intendedOnboardingEligible,intendedRecommendationEligible,intendedLibraryOnly,promotionState,slotAuthority
medalist,anchor,true,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
chihayafuru,anchor,true,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
that-time-i-got-reincarnated-as-a-slime,anchor,true,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
welcome-to-the-ballroom,bridge,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
a-sign-of-affection,bridge,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
heavenly-delusion,bridge,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
ajin,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
historie,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
what-did-you-eat-yesterday,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
the-full-time-wife-escapist,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
dance-dance-danseur,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
chi-on-the-movements-of-the-earth,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
mystery-to-iu-nakare,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
aoashi,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
blood-on-the-tracks,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
7seeds,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
mieruko-chan,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
the-summer-hikaru-died,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
my-love-story-with-yamada-kun-at-lv999,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
metamorphose-no-engawa,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
real,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
summer-time-rendering,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
kowloon-generic-romance,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
my-happy-marriage,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
my-next-life-as-a-villainess,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
how-a-realist-hero-rebuilt-the-kingdom,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
boys-run-the-riot,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
blue-box,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
the-darwin-incident,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
requiem-of-the-rose-king,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
i-think-our-son-is-gay,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-a-admission-manifest
