workId,axisId,state,value,confidence,refs,observation,limitation
work-048a39f42bd18cb0823e,artRealism,known,2,0.86,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","Ordinarily stylized faces and expressive deformations remain dominant while bodies rooms the city skyline and vehicles keep coherent proportions and perspective so the complete sample matches anchor 2.","Licensed digital-remaster volume 1 uses the frozen ISBN and original manuscript data but remastering can alter reproduction and tone; only opening body pages 9-14 were sampled."
work-048a39f42bd18cb0823e,artDensity,known,2,0.84,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","Furniture electronics architecture signage and motorcycle detail alternate with broad white fields isolated figures and clean close-ups so density remains balanced across the three contexts.","Licensed digital-remaster volume 1 uses the frozen ISBN and original manuscript data but remastering can alter reproduction and tone; only opening body pages 9-14 were sampled."
work-048a39f42bd18cb0823e,visualSoftness,known,2,0.86,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","Smooth face and hair contours are balanced by firm room architecture equipment and vehicle edges with hard black-white separation producing a neutral mixed treatment.","Licensed digital-remaster volume 1 uses the frozen ISBN and original manuscript data but remastering can alter reproduction and tone; only opening body pages 9-14 were sampled."
work-048a39f42bd18cb0823e,motionImpact,unknown,,,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","The captures contain isolated gestures and a motorcycle pose but no exact bounded continuous sequence with a resolved endpoint.","The sample qualifies for static Art only; unknown is not a low value or a promotion blocker."
work-04f35b4c99514d50231d,artRealism,known,2,0.84,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","Recognizable adult anatomy and everyday station office and shop settings persist across the sample while comic grimaces and simplified faces retain ordinary manga stylization matching anchor 2.","Licensed complete-edition volume 1 carries the frozen ISBN and states that its body is unchanged; added commentary and color-enhancement material were excluded."
work-04f35b4c99514d50231d,artDensity,known,3,0.86,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","Compact panel layouts station crowds office furniture record racks hatching effect lines and repeated text information stay above balanced density across all three contexts without reaching the maximum anchor.","The review covers six monochrome opening body pages in three contexts and does not establish later-volume consistency."
work-04f35b4c99514d50231d,visualSoftness,known,1,0.87,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","Scratchy hatching jagged stress lines and hard black shapes create a rough tendency while smooth ordinary contours on several faces keep the complete sample between anchors 0 and 2.","The review covers six monochrome opening body pages in three contexts and excludes added complete-edition material."
work-04f35b4c99514d50231d,motionImpact,unknown,,,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","Running and gesturing poses are separated by unrelated contexts and do not form one exact bounded continuous action sequence.","The sample qualifies for static Art only; unknown is not a low value or a promotion blocker."
work-07faf4019b12de5e877d,artRealism,known,3,0.86,"reader-step-09(left,right);reader-step-10(left,right);reader-step-12(left,right)","Plausible adult-child scale hands legs clothing and domestic postures remain consistent while enlarged eyes and occasional reaction faces preserve visible stylization placing the sample between anchors 2 and 4.","The current Kodansha volume is bridged to the frozen Futabasha edition through unchanged prior body content and a cover-only renewal; identical pagination and design metadata are not asserted."
work-07faf4019b12de5e877d,artDensity,known,1,0.87,"reader-step-09(left,right);reader-step-10(left,right);reader-step-12(left,right)","Large white fields and lightly rendered park home and conversation backgrounds dominate while fine clothing lines interior fixtures and screentone keep density above the sparse endpoint.","Only six early body pages across three contexts were reviewed through the explicit edition bridge."
work-07faf4019b12de5e877d,visualSoftness,known,4,0.92,"reader-step-09(left,right);reader-step-10(left,right);reader-step-12(left,right)","Fine low-weight contours rounded faces flowing hair gentle tone gradients and restrained blacks sustain the soft polished endpoint across park domestic and conversation contexts.","The extreme is limited to the six sampled early body pages and does not establish later-volume consistency."
work-07faf4019b12de5e877d,motionImpact,unknown,,,"reader-step-09(left,right);reader-step-10(left,right);reader-step-12(left,right)","Walking ball and household poses appear but no exact continuous sequence exposes a start development impact and resolved endpoint.","The sample qualifies for static Art only; unknown is not a low value or a promotion blocker."
work-171b262b7ad72871f795,artRealism,known,2,0.84,"reader-step-03(p003-p004);reader-step-04(p005-p006);reader-step-05(p007-p008)","Detailed armor weapons horses and coherent bodies are paired with persistent elongated grins enlarged eyes and action distortion so the complete sample remains ordinary stylization anchor 2.","Licensed standard volume 1 maps directly to the frozen ISBN but only opening pages 3-8 across command and battlefield contexts were reviewed."
work-171b262b7ad72871f795,artDensity,known,4,0.94,"reader-step-03(p003-p004);reader-step-04(p005-p006);reader-step-05(p007-p008)","Armor plates weapon fittings mounted soldiers grass smoke crosshatching solid blacks and overlapping figures repeatedly fill both command and battlefield contexts sustaining the high-density endpoint.","The extreme is bounded to opening pages 3-8 and does not establish later-volume consistency."
work-171b262b7ad72871f795,visualSoftness,known,0,0.93,"reader-step-03(p003-p004);reader-step-04(p005-p006);reader-step-05(p007-p008)","Jagged hair and facial contours angular armor coarse hatching speed lines and extreme black-white contrast recur across every sampled context sustaining the rough angular endpoint.","The extreme is bounded to opening pages 3-8 and does not establish later-volume consistency."
work-171b262b7ad72871f795,motionImpact,unknown,,,"reader-step-03(p003-p004);reader-step-04(p005-p006);reader-step-05(p007-p008)","The sampled combat continues beyond page 8 and therefore lacks an exact resolved endpoint despite visible charge volley and melee panels.","The sample qualifies for static Art only; an unresolved action fragment cannot support a numeric value."
