id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g2-fresh-b-bib-fruits-basket,fruits-basket,work,fruits-basket,publisher,https://www.hakusensha.co.jp/comicslist/40977/,2026-08-12T13:00:00+09:00,g2-fresh-b-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 일본어 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-b-annotation-fruits-basket,fruits-basket,work,fruits-basket,model,https://bookwalker.jp/de50cbd88f-80f8-447d-a968-2f7da4b1f0f9/?sample=1,2026-08-12T13:30:00+09:00,g2-fresh-b-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 내부 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-b-art-fruits-basket,fruits-basket,work,fruits-basket,manual,https://bookwalker.jp/de50cbd88f-80f8-447d-a968-2f7da4b1f0f9/?sample=1,2026-08-12T14:30:00+09:00,g2-fresh-b-art-observation-v1,false,0.86,Edge remote CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-b-bib-inuyasha,inuyasha,work,inuyasha,publisher,https://shogakukan-comic.jp/book?isbn=9784091252012,2026-08-12T13:00:00+09:00,g2-fresh-b-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 일본어 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-b-annotation-inuyasha,inuyasha,work,inuyasha,model,https://shogakukan-comic.jp/viewer-open?jdcn=091252010000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091252010000d0000000,2026-08-12T13:30:00+09:00,g2-fresh-b-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 내부 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-b-art-inuyasha,inuyasha,work,inuyasha,publisher,https://shogakukan-comic.jp/viewer-open?jdcn=091252010000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091252010000d0000000,2026-08-12T14:30:00+09:00,g2-fresh-b-art-observation-v1,false,0.86,Edge remote CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-b-bib-space-brothers,space-brothers,work,space-brothers,publisher,https://www.kodansha.co.jp/comic/products/0000013802,2026-08-12T13:00:00+09:00,g2-fresh-b-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 일본어 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-b-annotation-space-brothers,space-brothers,work,space-brothers,model,https://www.kodansha.co.jp/comic/products/0000013802/trial,2026-08-12T13:30:00+09:00,g2-fresh-b-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 내부 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-b-art-space-brothers,space-brothers,work,space-brothers,publisher,https://www.kodansha.co.jp/comic/products/0000013802/trial,2026-08-12T14:30:00+09:00,g2-fresh-b-art-observation-v1,false,0.86,Edge remote CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-b-bib-blue-giant,blue-giant,work,blue-giant,publisher,https://shogakukan-comic.jp/book?isbn=9784091856784,2026-08-12T13:00:00+09:00,g2-fresh-b-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 일본어 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-b-annotation-blue-giant,blue-giant,work,blue-giant,model,https://sc-portal.tameshiyo.me/9784091856784,2026-08-12T13:30:00+09:00,g2-fresh-b-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 내부 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-b-art-blue-giant,blue-giant,work,blue-giant,publisher,https://sc-portal.tameshiyo.me/9784091856784,2026-08-12T14:30:00+09:00,g2-fresh-b-art-observation-v1,false,0.86,Edge remote CDP로 공식 또는 출판사 연결 라이선스 내부 페이지 6쪽 이상과 2개 이상 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; 사람 검수 전
ev-g2-fresh-b-bib-blue-period,blue-period,work,blue-period,publisher,https://www.kodansha.co.jp/comic/products/0000052420,2026-08-12T13:00:00+09:00,g2-fresh-b-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 서지와 일본어 대표 1권 ISBN을 대조한 근거; 패널 검수 전
ev-g2-fresh-b-annotation-blue-period,blue-period,work,blue-period,model,https://www.kodansha.co.jp/comic/products/0000052420/trial,2026-08-12T13:30:00+09:00,g2-fresh-b-entry-annotation-v1,false,0.82,공식 소개와 초반 1~3권 범위의 합법적 내부 미리보기를 대조한 오프라인 모델 초벌 주석; 사람 또는 승인 패널 검수 전
