id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-dungeon-meshi,dungeon-meshi,work,dungeon-meshi,model,https://www.kadokawa.co.jp/product/301411000826/,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.90,KADOKAWA 1~3권 서지와 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-kingdom,kingdom,work,kingdom,model,https://www.s-manga.net/items/contents.html?isbn=4-08-877079-X,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.92,集英社 1~3권 소개와 공식 미리보기를 초반 범위로 대조한 모델 초벌 주석
ev-fullmetal-alchemist,fullmetal-alchemist,work,fullmetal-alchemist,model,https://magazine.jp.square-enix.com/top/comics/detail/9784757506206/,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.92,SQUARE ENIX 1~3권 소개와 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-death-note,death-note,work,death-note,model,https://www.s-manga.net/items/contents.html?isbn=4088736214,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.93,集英社 1~3권 소개와 공식 미리보기를 초반 범위로 대조한 모델 초벌 주석
ev-spy-family,spy-family,work,spy-family,model,https://www.s-manga.net/items/contents.html?isbn=978-4-08-882011-8,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.91,集英社 1~3권 소개와 공식 미리보기를 초반 범위로 대조하고 motionImpact는 unknown으로 유지한 모델 초벌 주석
ev-frieren,frieren,work,frieren,model,https://shogakukan-comic.jp/book?isbn=9784098501809,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.92,小学館 1~3권과 공식 미리보기를 대조하고 romance는 unknown으로 유지한 모델 초벌 주석
ev-chainsaw-man,chainsaw-man,work,chainsaw-man,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-881780-4,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.96,集英社 1~3권과 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-blue-lock,blue-lock,work,blue-lock,model,https://www.kodansha.co.jp/r/comic/product?item=0000314505,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.96,講談社 1~3권과 マガポケ 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-monster,monster,work,monster,model,https://shogakukan-comic.jp/book?isbn=9784091817907,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.95,小学館 현행 완전판과 공식 미리보기 및 楽天 원판 서지를 대조한 모델 초벌 주석
ev-yotsuba-to,yotsuba-to,work,yotsuba-to,model,https://www.kadokawa.co.jp/product/312171800000/,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.95,KADOKAWA 1권과 공식 제1화를 대조하고 demographic은 unknown으로 유지한 모델 초벌 주석
ev-blame,blame,work,blame,model,https://www.kodansha.co.jp/comic/products/0000030097,2026-08-11T01:41:44+09:00,seed-annotation-panel-v1,false,0.94,講談社 1권 서지와 コミックDAYS 공식 LOG.1 미리보기를 초반 1~3권 범위로 대조한 모델 초벌 주석
