position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-be54044322b24ee62dba","ドカベン ドリームトーナメント編","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ドカベン ドリームトーナメント編; Rakuten product=https://books.rakuten.co.jp/rb/11842265/","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","도카벤 드림 토너먼트 편 만화 리뷰;도카벤 드림 토너먼트 리뷰","https://bookmeter.com/search?keyword=%E3%83%89%E3%82%AB%E3%83%99%E3%83%B3%20%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0%E3%83%88%E3%83%BC%E3%83%8A%E3%83%A1%E3%83%B3%E3%83%88%E7%B7%A8;https://reviewne.jp/contents?query=%E3%83%89%E3%82%AB%E3%83%99%E3%83%B3%20%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0%E3%83%88%E3%83%BC%E3%83%8A%E3%83%A1%E3%83%B3%E3%83%88%E7%B7%A8"
"2","work-be6fdcb10451af4f7569","DROPS","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for DROPS; Rakuten product=https://books.rakuten.co.jp/rb/6124417/","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","드롭스 만화 리뷰;DROPS 만화 리뷰","https://bookmeter.com/search?keyword=DROPS;https://reviewne.jp/contents?query=DROPS"
"3","work-be718dc826c927adf274","テラフォーマーズ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for テラフォーマーズ; Rakuten product=https://books.rakuten.co.jp/rb/11604004/","https://www.honyaclub.com/shop/pages/osusume.aspx","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","테라포마스 만화 리뷰;테라포마스 리뷰","https://bookmeter.com/search?keyword=%E3%83%86%E3%83%A9%E3%83%95%E3%82%A9%E3%83%BC%E3%83%9E%E3%83%BC%E3%82%BA;https://reviewne.jp/contents?query=%E3%83%86%E3%83%A9%E3%83%95%E3%82%A9%E3%83%BC%E3%83%9E%E3%83%BC%E3%82%BA"
"4","work-be770c8b3ea29cdbf874","空母いぶき","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 空母いぶき; Rakuten product=https://books.rakuten.co.jp/rb/13347046/","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2017","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","항공모함 이부키 만화 리뷰;쿠보 이부키 리뷰","https://bookmeter.com/search?keyword=%E7%A9%BA%E6%AF%8D%E3%81%84%E3%81%B6%E3%81%8D;https://reviewne.jp/contents?query=%E7%A9%BA%E6%AF%8D%E3%81%84%E3%81%B6%E3%81%8D"
"5","work-be8ce654b5d7e7b3fdfb","金の国 水の国","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 金の国 水の国; Rakuten product=https://books.rakuten.co.jp/rb/14275097/","https://www.mangataisho.com/archives/2017.html","2017","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","금의 나라 물의 나라 만화 리뷰;킨노 쿠니 미즈노 쿠니 리뷰","https://bookmeter.com/search?keyword=%E9%87%91%E3%81%AE%E5%9B%BD%20%E6%B0%B4%E3%81%AE%E5%9B%BD;https://reviewne.jp/contents?query=%E9%87%91%E3%81%AE%E5%9B%BD%20%E6%B0%B4%E3%81%AE%E5%9B%BD"
"6","work-be8d528fa1e3ae0e6d31","往生際の意味を知れ！","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 往生際の意味を知れ！; Rakuten product=https://books.rakuten.co.jp/rb/16324706/","https://tsugimanga.jp/winner/2021/comics","2021-08-24","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","마지막 순간의 의미를 알아라 만화 리뷰;오조기와기노 이미오 시레 리뷰","https://bookmeter.com/search?keyword=%E5%BE%80%E7%94%9F%E9%9A%9B%E3%81%AE%E6%84%8F%E5%91%B3%E3%82%92%E7%9F%A5%E3%82%8C%EF%BC%81;https://reviewne.jp/contents?query=%E5%BE%80%E7%94%9F%E9%9A%9B%E3%81%AE%E6%84%8F%E5%91%B3%E3%82%92%E7%9F%A5%E3%82%8C%EF%BC%81"
"7","work-be90023564b36a3b0eac","ライアー×ライアー","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ライアー×ライアー; Rakuten product=https://books.rakuten.co.jp/rb/6796896/","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","라이어×라이어 만화 리뷰;라이아 라이아 리뷰","https://bookmeter.com/search?keyword=%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC%C3%97%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC;https://reviewne.jp/contents?query=%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC%C3%97%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC"
"8","work-bf1cc824209498660888","ＥＶＩＬ ＨＥＡＲＴ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ＥＶＩＬ ＨＥＡＲＴ; Rakuten product=https://books.rakuten.co.jp/rb/3574871/","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","이블 하트 만화 리뷰;이블하트 리뷰","https://bookmeter.com/search?keyword=%EF%BC%A5%EF%BC%B6%EF%BC%A9%EF%BC%AC%20%EF%BC%A8%EF%BC%A5%EF%BC%A1%EF%BC%B2%EF%BC%B4;https://reviewne.jp/contents?query=%EF%BC%A5%EF%BC%B6%EF%BC%A9%EF%BC%AC%20%EF%BC%A8%EF%BC%A5%EF%BC%A1%EF%BC%B2%EF%BC%B4"
"9","work-c0a4903a040d0f704d18","レストー夫人","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for レストー夫人; Rakuten product=https://books.rakuten.co.jp/rb/12750812/","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","레스토 부인 만화 리뷰;레스토 후진 리뷰","https://bookmeter.com/search?keyword=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%BC%E5%A4%AB%E4%BA%BA;https://reviewne.jp/contents?query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%BC%E5%A4%AB%E4%BA%BA"
"10","work-c0c630ff4d186daf762d","龍とカメレオン","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 龍とカメレオン; Rakuten product=https://books.rakuten.co.jp/rb/17428162/","https://tsugimanga.jp/winner/2023/comics","2023-08-31","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","용과 카멜레온 만화 리뷰;류토 카메레온 리뷰","https://bookmeter.com/search?keyword=%E9%BE%8D%E3%81%A8%E3%82%AB%E3%83%A1%E3%83%AC%E3%82%AA%E3%83%B3;https://reviewne.jp/contents?query=%E9%BE%8D%E3%81%A8%E3%82%AB%E3%83%A1%E3%83%AC%E3%82%AA%E3%83%B3"
