position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
1,work-a8e7fda40fe4cfd357cf,"君と綴るうたかた",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2022 official selection — 君と綴るうたかた","https://tsugimanga.jp/winner/2022/comics",2022-08-31,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/16532034/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""너와 잇는 물거품"" 만화 리뷰; ""키미토 츠즈루 우타카타"" 만화 리뷰","https://antaressmangakanso.iiblog.jp/article/479599180.html;https://note.com/_roa_s_ark/n/n7aaa74a0f67c"
2,work-ab1258948eec0e70b1ca,"またぞろ。",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2021 official selection — またぞろ。","https://tsugimanga.jp/winner/2021/comics",2021-08-24,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/16630808/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""마타조로"" 만화 리뷰; ""또다시"" 일본 만화 리뷰","https://sugunitiblog.com/introduction-17/;https://shamiko928.hatenablog.com/entry/2021/07/12/031519;https://note.com/liartrail/n/n3710fc6c06df"
3,work-ac4059b89f3366ca7a17,"平和の国の島崎へ",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2023 official selection — 平和の国の島崎へ","https://tsugimanga.jp/winner/2023/comics",2023-08-31,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/17332315/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""평화의 나라 시마자키에게"" 만화 리뷰; ""평화의 나라의 시마자키에게"" 리뷰","https://bookmeter.com/books/20396481;https://www.cmoa.jp/title/customer_review/title_id/258145/"
4,work-acf8f385f6db7ee0548f,"魔法少女201",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2024 official selection — 魔法少女201","https://tsugimanga.jp/winner/2024/comics",2024-08-28,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/17793475/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""마법소녀 201"" 만화 리뷰; ""마법소녀 이백일"" 만화 리뷰","https://www.cmoa.jp/title/290604/;https://www.lemon8-app.com/@mochiko.mochi01/7385031421180576261?region=jp"
5,work-b0baba6c795643b1db91,"町田くんの世界",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2016 official selection — 町田くんの世界","https://tsugimanga.jp/winner/2016/comics",2016-02-04,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/13265553/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""마치다군의 세계"" 만화 리뷰; ""마치다 군의 세계"" 리뷰","https://www.ka-net.org/blog/?p=7521;https://www.tomochi-1227.com/shyhyou/machidakun-no-sekai-1/;https://booklive.jp/review/list/title_id/330033/vol_no/001"
6,work-b3ea582f72fd539f881c,"ありす、宇宙までも",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2025 official selection — ありす、宇宙までも","https://tsugimanga.jp/winner/2025/comics",2025-09-18,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/17926261/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""앨리스 우주까지"" 만화 리뷰; ""아리스 우주까지도"" 리뷰","https://note.com/unripe__apples/n/nf966fd18adbd;https://yukimaru88.hatenablog.com/entry/2026/07/13/044725;https://chachachalog.com/alice-netabare/"
7,work-b403d2f9699b4f8dd110,"おはようおかえり",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2012 official archive — おはようおかえり","https://www.mangataisho.com/archives/2012.html",2012,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/11128696/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""좋은 아침 어서 와"" 만화 리뷰; ""오하요 오카에리"" 만화 리뷰","https://booklive.jp/review/list/title_id/215720/vol_no/001;https://www.cmoa.jp/title/66352/"
8,work-b4284a6ef960f906d31e,"友達100人できるかな",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2010 official archive — 友達100人できるかな","https://www.mangataisho.com/archives/2010.html",2010,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/6136095/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""친구 100명 만들 수 있을까"" 만화 리뷰; ""친구100명 만들 수 있을까"" 리뷰","https://bulublogpart1.seesaa.net/article/a62211812.html;https://reviewne.jp/contents/5212;https://bookmeter.com/books/578035"
9,work-b50b131e3e2bd7448d96,"あそこではたらくムスブさん",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2020 official selection — あそこではたらくムスブさん","https://tsugimanga.jp/winner/2020/comics",2020-08-19,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/15620872/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""저기서 일하는 무스부 씨"" 만화 리뷰; ""무스부 씨"" 만화 리뷰","https://phmpk.hatenablog.com/entry/asoko-de-hataraku-musubu-san-v1;https://magazin-review.net/musubusan;https://manba.co.jp/topics/27332"
10,work-b6e5ab291c28e2a29076,"変ゼミ",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2010 official archive — 変ゼミ","https://www.mangataisho.com/archives/2010.html",2010,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/5790478/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""헨제미"" 만화 리뷰; ""변태 세미나"" 만화 리뷰","https://booklive.jp/review/list/title_id/40380/vol_no/001;https://plaza.rakuten.co.jp/princessblue/diary/201104120001-amp/"
