position,workId,canonicalTitle,narrativeKnown,toneKnown,narrativeNeeded,toneNeeded,searchRoute,status,hardBlocker
41,work-ccf0ddff9c6410c4de14,サンキューピッチ,5,3,0,2,"official early episode or editorial for sustained tone dimensions; then multiple independent scoped reviews, without inferring comedy or warmth from sports genre",evidence-search,false
42,work-cdef8cfd678998a51447,うさぎドロップ,0,0,4,5,"official original-edition contents bridge first; then volume 1–3 preview or editorial and multiple independent scoped reviews for text axes plus one directly supported Theme",evidence-search,false
43,work-ced7a8e6d9c3b8147702,水は海に向かって流れる,2,4,2,1,"official complete-entry editorial or interview for repeated narrative method and one sustained tone dimension plus one directly supported Theme; then multiple independent scoped reviews",evidence-search,false
44,work-daf65c6f2cce3e076dfa,凪のお暇,1,6,3,0,"official volume 1–3 preview or editorial for recurring narrative method distinct from the romance and life-reset premise; then multiple independent scoped reviews",evidence-search,false
45,work-db80d94709b62aa8823f,逃げ上手の若君,5,3,0,2,"official early preview or editorial for two sustained tone dimensions beyond violence and historical genre; then multiple independent scoped reviews",evidence-search,false
46,work-ef1bdac46a0956a87f7f,タコピーの原罪,1,3,3,2,"official complete-work preview or editorial for recurring narrative methods and sustained tone beyond severity alone; then multiple independent scoped reviews",evidence-search,false
47,work-f5847c45d30753150364,闇のパープル・アイ,3,4,1,1,"official original-volume preview or editorial for one recurring narrative method and one sustained tone dimension; then multiple independent scoped reviews",evidence-search,false
48,work-fabc7f5d853e361acaf3,YAIBA,3,3,1,2,"official volume 1–3 preview or editorial for one recurring narrative method and two sustained tone dimensions beyond action and fantasy labels; then multiple independent scoped reviews",evidence-search,false
49,work-fb7a0ed6a88db7d7bc71,夢の碑,0,0,4,5,"official PF volumes 1–3 contents bridge first; then entry preview or editorial and multiple independent scoped reviews for axes, Genre, and Theme",evidence-search,false
50,work-fd88144bf7334c4aae39,おそ松くん,0,0,4,5,"official representative-edition contents bridge separating original, revival, and adaptations; then entry preview or editorial and multiple independent scoped reviews for axes, Genre, and Theme",evidence-search,false
