workId,axisId,state,value,confidence,refs,observation,limitation
work-c50ea94bb66f72c679a2,artRealism,known,1,0.86,reader-trg-06;reader-trg-07;reader-trg-10,"Characters use markedly simplified faces and rounded features while props and settings retain ordinary perspective; the result lies between strong simplification and general stylization.",Judgment is limited to six readable volume-1 BODY pages in three entry contexts.
work-c50ea94bb66f72c679a2,artDensity,known,2,0.88,reader-trg-06;reader-trg-09;reader-trg-11,"Amusement-park structures and robot-shop interiors carry functional detail while character panels retain clear white space and restrained hatching.",Judgment is limited to six readable volume-1 BODY pages in three entry contexts.
work-c50ea94bb66f72c679a2,visualSoftness,known,3,0.84,reader-trg-07;reader-trg-10;reader-trg-11,"Rounded faces; smooth contours; gentle expressions; and clean low-friction linework recur across park shop and home scenes.",Judgment is limited to six readable volume-1 BODY pages in three entry contexts.
work-c50ea94bb66f72c679a2,motionImpact,unknown,,,,No exact bounded continuous action sequence with start development impact and resolved endpoint was present.,motionGateAttemptable=false; isolated movement panels cannot establish motionImpact.
work-c7e065f61bb7a176ee56,artRealism,unknown,,,,No readable internal BODY sample was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings; the six-page and two-context gate failed.
work-c7e065f61bb7a176ee56,artDensity,unknown,,,,No readable internal BODY sample was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings; the six-page and two-context gate failed.
work-c7e065f61bb7a176ee56,visualSoftness,unknown,,,,No readable internal BODY sample was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings; the six-page and two-context gate failed.
work-c7e065f61bb7a176ee56,motionImpact,unknown,,,,No readable continuous action sequence was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings and motionGateAttemptable=false.
work-c8243866b7c8a6d9a2f8,artRealism,unknown,,,,No decoded readable internal BODY sample was admitted.,The exact official JDCN reader assets were tile-scrambled; the six-page and two-context gate failed.
work-c8243866b7c8a6d9a2f8,artDensity,unknown,,,,No decoded readable internal BODY sample was admitted.,The exact official JDCN reader assets were tile-scrambled; the six-page and two-context gate failed.
work-c8243866b7c8a6d9a2f8,visualSoftness,unknown,,,,No decoded readable internal BODY sample was admitted.,The exact official JDCN reader assets were tile-scrambled; the six-page and two-context gate failed.
work-c8243866b7c8a6d9a2f8,motionImpact,unknown,,,,No decoded readable continuous action sequence was admitted.,The exact official JDCN reader assets were tile-scrambled and motionGateAttemptable=false.
work-db4a0ec451d7f4ffd8b8,artRealism,unknown,,,,No decoded readable internal BODY sample was admitted.,The official reader page bytes were tile-scrambled; the six-page and two-context gate failed.
work-db4a0ec451d7f4ffd8b8,artDensity,unknown,,,,No decoded readable internal BODY sample was admitted.,The official reader page bytes were tile-scrambled; the six-page and two-context gate failed.
work-db4a0ec451d7f4ffd8b8,visualSoftness,unknown,,,,No decoded readable internal BODY sample was admitted.,The official reader page bytes were tile-scrambled; the six-page and two-context gate failed.
work-db4a0ec451d7f4ffd8b8,motionImpact,unknown,,,,No decoded readable continuous action sequence was admitted.,The official reader page bytes were tile-scrambled and motionGateAttemptable=false.
work-e658d3aee2e33c17aa38,artRealism,known,2,0.88,reader-v2-p006;reader-v2-p007;reader-v2-p008;reader-v2-p009;reader-v2-p010;reader-v2-p011,"Standard manga stylization persists across all six pages: enlarged eyes simplified facial planes and caricatured reactions coexist with coherent anatomy clothing school furniture architecture and perspective.",Judgment is limited to six readable standard-volume-2 BODY pages across two entry contexts.
work-e658d3aee2e33c17aa38,artDensity,known,1,0.87,reader-v2-p006;reader-v2-p007;reader-v2-p008;reader-v2-p009;reader-v2-p010;reader-v2-p011,"School architecture furniture clothing tone and the colour landscape recur but broad white fields omitted backgrounds flat black masses and sparse portrait panels dominate most of the sample.",Judgment is limited to six readable standard-volume-2 BODY pages across two entry contexts.
work-e658d3aee2e33c17aa38,visualSoftness,known,2,0.90,reader-v2-p006;reader-v2-p007;reader-v2-p008;reader-v2-p009;reader-v2-p010;reader-v2-p011,"Rounded faces smooth hair curves and clean contours are repeatedly countered by spiky hair hard black masses angular reactions and firm panel geometry producing a neutral treatment.",Judgment is limited to six readable standard-volume-2 BODY pages across two entry contexts.
work-e658d3aee2e33c17aa38,motionImpact,unknown,,,reader-v2-p006;reader-v2-p007;reader-v2-p008;reader-v2-p009;reader-v2-p010;reader-v2-p011,The sample contains isolated raised arms walking and conversational gestures but no exact continuous start development impact and resolved endpoint sequence.,motionGateAttemptable=false; unknown is not a low value and no motion inference was made from isolated panels.
work-e906b3eaa9ef9eafe23c,artRealism,known,4,0.93,reader-trg-11;reader-trg-12;reader-trg-15,"Faces hands bodies clothing and built environments repeatedly use realistic proportions; modeled volume; and observational detail.",Judgment is limited to six readable volume-1 BODY pages in two entry contexts.
work-e906b3eaa9ef9eafe23c,artDensity,known,4,0.94,reader-trg-11;reader-trg-13;reader-trg-14;reader-trg-16,"Dense architectural grids; interior furnishings; city texture; facial modeling; and hatching occupy most panels without broad simplification.",Judgment is limited to six readable volume-1 BODY pages in two entry contexts.
work-e906b3eaa9ef9eafe23c,visualSoftness,known,0,0.90,reader-trg-11;reader-trg-14;reader-trg-15,"Hard contours; sharp facial planes; dense hatching; strong black masses; and angular perspective dominate both luxury and urban scenes.",Judgment is limited to six readable volume-1 BODY pages in two entry contexts.
work-e906b3eaa9ef9eafe23c,motionImpact,unknown,,,,No exact bounded continuous action sequence with start development impact and resolved endpoint was present.,motionGateAttemptable=false; a strike pose and aftermath across sampled pages do not establish a continuous sequence.
work-f31a42ea4ad724acefa5,artRealism,known,2,0.90,reader-trg-08;reader-trg-10;reader-trg-11,"Photographically observed rooms streets and objects coexist with persistently simplified rounded manga faces; across all three contexts the combined treatment matches general stylization rather than a realism-leaning endpoint.",Judgment is limited to six readable volume-1 BODY pages in three entry contexts.
work-f31a42ea4ad724acefa5,artDensity,known,4,0.94,reader-trg-07;reader-trg-08;reader-trg-09;reader-trg-10,"Cables books devices household clutter street architecture foliage clothing textures and surface hatching create consistently high information density.",Judgment is limited to six readable volume-1 BODY pages in three entry contexts.
work-f31a42ea4ad724acefa5,visualSoftness,known,2,0.82,reader-trg-09;reader-trg-11;reader-trg-12,"Rounded youthful faces coexist with precise contours heavy environmental texture and firm black framing; producing a neutral rather than markedly soft or rough treatment.",Judgment is limited to six readable volume-1 BODY pages in three entry contexts.
work-f31a42ea4ad724acefa5,motionImpact,unknown,,,,No exact bounded continuous action sequence with start development impact and resolved endpoint was present.,motionGateAttemptable=false; bicycle movement is isolated and lacks a complete continuous endpoint sequence.
work-f4bfc29a5e0a9b5148d0,artRealism,unknown,,,,No readable internal BODY sample was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings; the six-page and two-context gate failed.
work-f4bfc29a5e0a9b5148d0,artDensity,unknown,,,,No readable internal BODY sample was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings; the six-page and two-context gate failed.
work-f4bfc29a5e0a9b5148d0,visualSoftness,unknown,,,,No readable internal BODY sample was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings; the six-page and two-context gate failed.
work-f4bfc29a5e0a9b5148d0,motionImpact,unknown,,,,No readable continuous action sequence was admitted.,The product-linked official reader yielded only obfuscated or unusable renderings and motionGateAttemptable=false.
work-fb89f119251610cf1648,artRealism,unknown,,,,No decoded readable internal BODY sample was admitted.,The official reader page bytes were tile-scrambled; the six-page and two-context gate failed.
work-fb89f119251610cf1648,artDensity,unknown,,,,No decoded readable internal BODY sample was admitted.,The official reader page bytes were tile-scrambled; the six-page and two-context gate failed.
work-fb89f119251610cf1648,visualSoftness,unknown,,,,No decoded readable internal BODY sample was admitted.,The official reader page bytes were tile-scrambled; the six-page and two-context gate failed.
work-fb89f119251610cf1648,motionImpact,unknown,,,,No decoded readable continuous action sequence was admitted.,The official reader page bytes were tile-scrambled and motionGateAttemptable=false.
work-fe35a5f01946f5153eb4,artRealism,known,2,0.82,reader-trg-09;reader-trg-12;reader-trg-14,"Anatomy and historical objects remain functional and plausible while faces hair and silhouettes are deliberately stylized across both historical and modern contexts.",Judgment is limited to six readable volume-1 BODY pages in two entry contexts.
work-fe35a5f01946f5153eb4,artDensity,known,3,0.86,reader-trg-09;reader-trg-11;reader-trg-12,"Battle rubble architecture armor and scattered room objects create high local detail while modern dialogue panels retain moderate open areas.",Judgment is limited to six readable volume-1 BODY pages in two entry contexts.
work-fe35a5f01946f5153eb4,visualSoftness,known,1,0.84,reader-trg-09;reader-trg-10;reader-trg-13,"Dry brush texture; angular silhouettes; sharp hair; and hard shadow masses dominate the battle pages while the modern pages remain cleaner but still firm-lined.",Judgment is limited to six readable volume-1 BODY pages in two entry contexts.
work-fe35a5f01946f5153eb4,motionImpact,unknown,,,,No exact bounded continuous action sequence with start development impact and resolved endpoint was present.,motionGateAttemptable=false; battle action is represented by isolated moments without a complete frozen endpoint sequence.
