workId,axisId,state,value,confidence,refs,observation,limitation
work-29d4300ad9d3358fb67a,artRealism,known,2,0.87,p006-p007;p020-p021;p040-p041,Normally proportioned figures and credible shelf or rubble perspective coexist with simplified faces and schematic reconstruction drawings which supports ordinary stylization anchor 2.,Evidence ART-B002-C02-11 is bounded to six official internal pages across the shop search and later investigation contexts.
work-29d4300ad9d3358fb67a,artDensity,known,2,0.84,p006-p007;p020-p021;p040-p041,Shelf and rubble detail plus compact panel sequences are balanced by open face panels and broad unrendered fields which matches anchor 2.,Evidence ART-B002-C02-11 covers two contexts and cannot establish density outside the sampled single-volume pages.
work-29d4300ad9d3358fb67a,visualSoftness,known,2,0.84,p006-p007;p020-p021;p040-p041,Clean controlled contours are offset by angular adult faces and firm black forms so the complete sample remains neutral at anchor 2.,Evidence ART-B002-C02-11 is limited to the exact selected pages and does not generalize beyond them.
work-29d4300ad9d3358fb67a,motionImpact,unknown,,,p006-p007;p020-p021;p040-p041,The selected refs show gestures and investigation aftermath but no exact continuous action from a preserved start through development to an endpoint.,Evidence ART-B002-C02-11 fails only the motion sequence gate and unknown is not a low value or blocker.
work-3dfaf6231e21133620c6,artRealism,known,3,0.88,reader-step-05;reader-step-12;reader-backstep-05,Grounded adult anatomy clothing and concourse perspective exceed ordinary stylization while exaggerated musculature and expressions keep the sample below fully realistic anchor 4.,Evidence ART-B002-C02-12 is bounded to six digital volume-one pages across the public concourse and gang-hall contexts.
work-3dfaf6231e21133620c6,artDensity,known,4,0.95,reader-step-05;reader-step-12;reader-backstep-05,Crowds tiled interiors layered figures speed accents heavy blacks and repeated hatching sustain high visual information across all three spreads.,Evidence ART-B002-C02-12 supports extreme anchor 4 in both contexts but remains sample-bounded.
work-3dfaf6231e21133620c6,visualSoftness,known,0,0.93,reader-step-05;reader-step-12;reader-backstep-05,Hard angular contours coarse hatching severe contrast and forceful facial rendering repeatedly match the rough anchor 0.,Evidence ART-B002-C02-12 supports the extreme from repeated line treatment rather than narrative violence.
work-3dfaf6231e21133620c6,motionImpact,unknown,,,reader-step-05;reader-step-12;reader-backstep-05,Impacts and gunfire are visible but the selected discontinuous refs do not preserve one exact start-development-end action sequence.,Evidence ART-B002-C02-12 fails only the exact sequence gate and unknown is not a restrained-motion score.
work-3e725951eb9c49771087,artRealism,known,2,0.88,reader-index-09;reader-index-21;reader-index-37,Recognizable period environments and proportionate bodies coexist with idealized faces and expressive comic deformation which supports ordinary stylization anchor 2.,Evidence ART-B002-C02-13 spans six volume-one pages across town arrival restaurant and fall-response contexts.
work-3e725951eb9c49771087,artDensity,known,3,0.91,reader-index-09;reader-index-21;reader-index-37,Detailed period streets food interiors patterned clothing and compact paneling exceed balanced density while several portrait panels retain open fields.,Evidence ART-B002-C02-13 places the complete three-context sample between anchors 2 and 4 rather than averaging isolated pages.
