id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g2-reuse-bib-chis-sweet-adventures,chis-sweet-adventures,work,chis-sweet-adventures,publisher,https://www.kodansha.co.jp/titles/1000029199,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title and representative Volume 1 metadata checked; product 0000048116. No admission review implied.
blind-replacement-v1-reconciled-chis-sweet-adventures,chis-sweet-adventures,work,chis-sweet-adventures,model,https://kodansha.us/book/chis-sweet-adventures/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-chis-sweet-adventures,chis-sweet-adventures,work,chis-sweet-adventures,manual,https://kodansha.us/book/chis-sweet-adventures/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
ev-g2-reuse-bib-lovely-muco,lovely-muco,work,lovely-muco,publisher,https://www.kodansha.co.jp/comic/products/0000038806,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000038806; 0000038822; 0000038846. No admission review implied.
blind-replacement-v1-reconciled-lovely-muco,lovely-muco,work,lovely-muco,model,https://kodansha.us/series/lovely-muco/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-lovely-muco,lovely-muco,work,lovely-muco,manual,https://kodansha.us/series/lovely-muco/,2026-08-13T10:34:23+09:00,g2-cycle6-kodansha-us-reader-recapture-v1,false,0.82,Publisher-authorized licensed Volume 1 preview re-inspected; reader page 8 title splash was excluded and static axes now use exactly six readable interior pages 9-14 across workshop yard/interior and garden/furnace contexts; motion keeps reader page 12 panels 3-7; exact refs are in art-evidence-manifest.csv; panel or human review pending.
ev-g2-reuse-bib-penguin-and-house,penguin-and-house,work,penguin-and-house,publisher,https://www.kodansha.co.jp/comic/products/0000328349,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000328349; 0000341341; 0000344743. No admission review implied.
blind-replacement-v1-reconciled-penguin-and-house,penguin-and-house,work,penguin-and-house,model,https://kodansha.us/series/penguin-and-house/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-penguin-and-house,penguin-and-house,work,penguin-and-house,manual,https://kodansha.us/series/penguin-and-house/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
ev-g2-reuse-bib-sheetas-little-big-world,sheetas-little-big-world,work,sheetas-little-big-world,publisher,https://www.kodansha.co.jp/titles/1000042558,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000366420; 0000370059; 0000374346. No admission review implied.
blind-replacement-v1-reconciled-sheetas-little-big-world,sheetas-little-big-world,work,sheetas-little-big-world,model,https://kodansha.us/series/sheetas-little-big-world/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
