workId,axisId,state,value,confidence,evidenceId
chis-sweet-adventures,pacing,known,0,0.95,blind-replacement-v1c-chis-sweet-adventures
fairy-tail,strategy,known,0,0.90,blind-replacement-v1c-fairy-tail
fairy-tail,worldBuilding,known,2,0.90,blind-replacement-v1c-fairy-tail
fairy-tail,relationshipStructure,known,2,0.95,blind-replacement-v1c-fairy-tail
fire-force,strategy,known,2,0.85,blind-replacement-v1c-fire-force
fire-force,relationshipStructure,known,2,0.95,blind-replacement-v1c-fire-force
fire-force,darkness,known,2,0.90,blind-replacement-v1c-fire-force
lovely-muco,pacing,known,0,0.95,blind-replacement-v1c-lovely-muco
lovely-muco,relationshipStructure,known,2,0.90,blind-replacement-v1c-lovely-muco
lovely-muco,comedy,known,4,0.95,blind-replacement-v1c-lovely-muco
noragami-stray-god,pacing,known,2,0.90,blind-replacement-v1c-noragami-stray-god
noragami-stray-god,comedy,known,2,0.95,blind-replacement-v1c-noragami-stray-god
penguin-and-house,pacing,known,0,0.95,blind-replacement-v1c-penguin-and-house
penguin-and-house,worldBuilding,known,0,0.95,blind-replacement-v1c-penguin-and-house
penguin-and-house,relationshipStructure,known,2,0.85,blind-replacement-v1c-penguin-and-house
sheetas-little-big-world,comedy,known,2,0.90,blind-replacement-v1c-sheetas-little-big-world
sheetas-little-big-world,emotionalWarmth,known,4,0.90,blind-replacement-v1c-sheetas-little-big-world
the-seven-deadly-sins,strategy,known,0,0.90,blind-replacement-v1c-the-seven-deadly-sins
the-seven-deadly-sins,mysteryReveal,known,2,0.90,blind-replacement-v1c-the-seven-deadly-sins
the-seven-deadly-sins,relationshipStructure,known,2,0.95,blind-replacement-v1c-the-seven-deadly-sins
