id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g2-fresh-c-bib-cardcaptor-sakura,cardcaptor-sakura,work,cardcaptor-sakura,publisher,https://www.kodansha.co.jp/comic/products/0000031602,2026-08-12T13:48:00+09:00,g2-fresh-c-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 페이지에서 작품 식별자와 대표 1권 ISBN 9784063197433을 대조한 근거; 사람 또는 승인 패널 검수 전
ev-g2-fresh-c-annotation-cardcaptor-sakura,cardcaptor-sakura,work,cardcaptor-sakura,model,https://kodansha.us/series/cardcaptor-sakura-collectors-edition/,2026-08-12T13:48:00+09:00,g2-fresh-c-entry-annotation-v1,false,0.82,1차 출판사 서지·공식 소개와 초반 entry_1_3_volumes 범위의 출판사 라이선스 미리보기를 대조한 오프라인 모델 초벌 Narrative/Tone/Theme 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-c-art-cardcaptor-sakura,cardcaptor-sakura,work,cardcaptor-sakura,manual,https://kodansha.us/series/cardcaptor-sakura-collectors-edition/,2026-08-12T13:48:00+09:00,g2-fresh-c-art-observation-v1,false,0.86,Edge remote CDP로 라이선스 리더 chapter 29ea5b8a-947b-4e77-8342-a0aa4a27fca4의 내부 페이지 6쪽과 3개 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; motionImpact는 unknown; 사람 검수 전
ev-g2-fresh-c-bib-initial-d,initial-d,work,initial-d,publisher,https://www.kodansha.co.jp/comic/products/0000006854,2026-08-12T13:48:00+09:00,g2-fresh-c-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 페이지에서 작품 식별자와 대표 1권 ISBN 9784063235678을 대조한 근거; 사람 또는 승인 패널 검수 전
ev-g2-fresh-c-annotation-initial-d,initial-d,work,initial-d,model,https://kodansha.us/series/initial-d/,2026-08-12T13:48:00+09:00,g2-fresh-c-entry-annotation-v1,false,0.82,1차 출판사 서지·공식 소개와 초반 entry_1_3_volumes 범위의 출판사 라이선스 미리보기를 대조한 오프라인 모델 초벌 Narrative/Tone/Theme 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-c-art-initial-d,initial-d,work,initial-d,manual,https://kodansha.us/series/initial-d/,2026-08-12T13:48:00+09:00,g2-fresh-c-art-observation-v1,false,0.86,Edge remote CDP로 라이선스 리더 chapter 98f4a423-0608-4116-b259-98d92e13b6fe의 내부 페이지 6쪽과 3개 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; motionImpact는 unknown; 사람 검수 전
ev-g2-fresh-c-bib-cells-at-work,cells-at-work,work,cells-at-work,publisher,https://www.kodansha.co.jp/comic/products/0000045249,2026-08-12T13:48:00+09:00,g2-fresh-c-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 페이지에서 작품 식별자와 대표 1권 ISBN 9784063765601을 대조한 근거; 사람 또는 승인 패널 검수 전
ev-g2-fresh-c-annotation-cells-at-work,cells-at-work,work,cells-at-work,model,https://kodansha.us/series/cells-at-work/,2026-08-12T13:48:00+09:00,g2-fresh-c-entry-annotation-v1,false,0.82,1차 출판사 서지·공식 소개와 초반 entry_1_3_volumes 범위의 출판사 라이선스 미리보기를 대조한 오프라인 모델 초벌 Narrative/Tone/Theme 주석; 사람 또는 승인 패널 검수 전
ev-g2-fresh-c-art-cells-at-work,cells-at-work,work,cells-at-work,manual,https://kodansha.us/series/cells-at-work/,2026-08-12T13:48:00+09:00,g2-fresh-c-art-observation-v1,false,0.86,Edge remote CDP로 라이선스 리더 chapter 5c640ec1-e812-49fc-87bb-2c8a3880f148의 내부 페이지 6쪽과 3개 맥락을 직접 관찰한 모델 초벌 Art 근거; exact refs는 art-evidence-manifest.csv에 기록; motionImpact는 unknown; 사람 검수 전
ev-g2-fresh-c-bib-xxxholic,xxxholic,work,xxxholic,publisher,https://www.kodansha.co.jp/comic/products/0000008128,2026-08-12T13:48:00+09:00,g2-fresh-c-bibliography-v1,false,0.98,2026-08-12 기준 1차 출판사 페이지에서 작품 식별자와 대표 1권 ISBN 9784063347524을 대조한 근거; 사람 또는 승인 패널 검수 전
