workId,axisId,state,value,confidence,refs,observation,limitation
work-c9e32218e26c6c6292f9,artRealism,known,1,0.88,"vol2-P0011;vol2-P0013;vol2-P0014;vol2-P0015;vol2-P0020","P0011-P0015 keep recognizable school-age bodies and interior perspective, but oversized mouths, compressed faces, spiky silhouettes, and abrupt comic deformation dominate reaction panels; P0020 repeats the same exaggerated facial construction in the separate school-council context. This lies between strong deformation and ordinary stylization.","Exact official volume 2 body sample only; six selected pages across apartment/delivery and school-council contexts do not establish later-volume style."
work-c9e32218e26c6c6292f9,artDensity,known,2,0.87,"vol2-P0011;vol2-P0012;vol2-P0015;vol2-P0020","P0011-P0012 include room fixtures, boxes, furniture, restaurant seating, and screentone, while P0015 adds tiled floor and meeting-room depth. Large white reaction fields and simplified close-ups recur on P0012 and P0020, so neither sparse nor high-density treatment dominates.","Exact official volume 2 body sample only; density is bounded to six selected pages and two entry-scope contexts."
work-c9e32218e26c6c6292f9,visualSoftness,known,1,0.89,"vol2-P0013;vol2-P0014;vol2-P0015;vol2-P0020","Across both contexts, jagged hair shapes, angular mouths and eyes, heavy black fills, hard radiating emphasis lines, and abrupt contrast dominate. Clean contour curves keep the sample above the fully rough/angular anchor, but it remains below neutral softness.","Exact official volume 2 body sample only; softness is inferred from the selected monochrome reproduction, not color or cover art."
work-c9e32218e26c6c6292f9,motionImpact,unknown,,,"vol2-P0011;vol2-P0012;vol2-P0013;vol2-P0014;vol2-P0015;vol2-P0020","The selected pages contain isolated gestures and emphasis lines but no accepted continuous start-development-impact-resolved sequence. No numeric motion value is inferred.","Daybreak verified motionGateAttemptable=false for this bounded sample."
work-f1d22b68efa7fbd501ee,artRealism,known,0,0.95,"vol2-reader-P007;vol2-reader-P008;vol2-reader-P009;vol2-reader-P010;vol2-reader-P011;vol2-reader-P012","Both chapters consistently use compressed heads, tiny or simplified eyes, short limbs, flattened hands, and deliberately schematic adult bodies. Props and rooms remain readable, but the figure system is strongly deformed and simplified across every selected page.","Exact official volume 2 reader pages only; the sample covers chapters 26 and 27 rather than the full entry range."
work-f1d22b68efa7fbd501ee,artDensity,known,1,0.92,"vol2-reader-P007;vol2-reader-P008;vol2-reader-P010;vol2-reader-P011;vol2-reader-P012","Panels repeatedly leave broad white fields and reduce bedroom, party, station, and living-room settings to a few boundary lines or props. Multi-panel page layouts add information, but individual scenes remain closer to sparse than balanced density.","Exact official volume 2 reader pages only; density is bounded to six pages across two chapters."
work-f1d22b68efa7fbd501ee,visualSoftness,known,3,0.89,"vol2-reader-P007;vol2-reader-P009;vol2-reader-P011;vol2-reader-P012","Rounded heads, smooth cheek and hair contours, small dot-like features, and gentle screentone make the domestic and party pages consistently soft. Deliberately crude simplification and solid black blocks keep the sample between neutral and the fully soft/polished anchor rather than at 4.","Exact official volume 2 reader pages only; the monochrome scan does not support claims about color rendering."
work-f1d22b68efa7fbd501ee,motionImpact,unknown,,,"vol2-reader-P007;vol2-reader-P008;vol2-reader-P009;vol2-reader-P010;vol2-reader-P011;vol2-reader-P012","The pages show isolated walking, sitting, and hand gestures but no accepted continuous start-development-impact-resolved sequence. No numeric motion value is inferred.","Daybreak verified motionGateAttemptable=false for this bounded sample."
work-f59be454d59478f33914,artRealism,known,2,0.87,"vol2-P008;vol2-P009;vol2-P010;vol3-P009;vol3-P010;vol3-P011","The small protagonists use clearly chibi proportions and enlarged eyes, while the owl, forest plants, masonry, timber, and street perspective receive realistic anatomy, texture, and spatial construction. The opposing treatments persist in both contexts, placing the sample at general stylization rather than either extreme.","Exact licensed volume 2 and volume 3 body pages only; combining two entry-scope volumes supports recurring static treatment but not later-series style."
work-f59be454d59478f33914,artDensity,known,4,0.96,"vol2-P008;vol2-P009;vol2-P010;vol3-P009;vol3-P010;vol3-P011","Every forest page layers leaves, rock, bark, feathers, clothing, and tone, while every town page repeats individual bricks, roof tiles, beams, paving, windows, garments, and depth cues. High line and background information density is sustained across both materially distinct contexts.","Exact licensed volume 2 and volume 3 body pages only; the value describes the retained monochrome body samples, not cover decoration."
