workId,axisId,state,value,confidence,confidenceDecision,evidenceFiles,editionOrScopeLimitation
work-0262dcaa820443c3185d,artRealism,known,4,0.94,"0.94 claim-level confidence: Local and Gemini direct-pixel reviews agree; eight entry pages repeatedly show grounded adult anatomy, furnishings, vehicles, and precise perspective at realism anchor 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/research/art-capability-preflight.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md,"Official entry-volume sample only: eight pages across hotel dialogue, sustained combat, and escape; later visual evolution in the very long serialization was not sampled"
work-0262dcaa820443c3185d,artDensity,known,3,0.90,"0.90 claim-level confidence: Local and Gemini agree that heavy blacks, hatching, architecture, and panel information stay above balanced density while open combat cuts keep the value at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/research/art-capability-preflight.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md,"Official entry-volume sample only: eight pages across hotel dialogue, sustained combat, and escape; later visual evolution in the very long serialization was not sampled"
work-0262dcaa820443c3185d,visualSoftness,known,0,0.95,"0.95 claim-level confidence: Local and Gemini agree that severe contours, hard chiaroscuro, and jagged hatching repeatedly reach the rough/angular 0 anchor. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/research/art-capability-preflight.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md,"Official entry-volume sample only: eight pages across hotel dialogue, sustained combat, and escape; later visual evolution in the very long serialization was not sampled"
work-0262dcaa820443c3185d,motionImpact,known,4,0.93,"0.93 claim-level confidence: Local and Gemini agree on the exact pp.6-11 ambush-to-escape sequence; repeated strikes, disarms, falls, speed lines, and a visible escape endpoint strongly support 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/research/art-capability-preflight.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-final-remaining-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md,"Official entry-volume sample only: eight pages across hotel dialogue, sustained combat, and escape; later visual evolution in the very long serialization was not sampled"
work-9d5d64262dbc2893acd4,artRealism,known,2,0.88,"0.88 claim-level confidence: The qualified six-page packet and both reviewers support ordinary 1970s shojo stylization at 2 rather than either strong deformation or realistic anatomy. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official entry pages across three contexts; the sample does not represent later serialization-wide stylistic change or a qualifying motion passage
work-9d5d64262dbc2893acd4,artDensity,known,1,0.84,"0.84 claim-level confidence: Pass C resolved Local 2 versus Gemini 1 from repeated open white fields and sparse backgrounds; one rain-textured context keeps density above 0 but not at balanced 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official entry pages across three contexts; the sample does not represent later serialization-wide stylistic change or a qualifying motion passage
work-9d5d64262dbc2893acd4,visualSoftness,known,4,0.94,"0.94 claim-level confidence: Both reviewers consistently identify lyrical contours, flowing hair, floral motifs, and feathered tone at the soft/beautiful 4 anchor. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official entry pages across three contexts; the sample does not represent later serialization-wide stylistic change or a qualifying motion passage
work-9d5d64262dbc2893acd4,motionImpact,unknown,,,"No numeric confidence: No exact continuous physical action with start, development or impact, and endpoint exists in the three supplied consecutive spreads; unknown is terminal for this packet. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/review-ledger.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official entry pages across three contexts; the sample does not represent later serialization-wide stylistic change or a qualifying motion passage
work-98d513b70560f2f96a38,artRealism,known,3,0.83,"0.83 claim-level confidence: Pass C resolved Local 3 versus Gemini 2: stylized faces remain, but natural body proportion and perspective-accurate streets, interiors, hands, and props place the packet between anchors 2 and 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/hyoryu-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six entry pages from an official bunko alternate edition rather than the frozen standard ISBN; confidence covers broad line and panel traits, not print-identical reproduction"
work-98d513b70560f2f96a38,artDensity,known,4,0.90,"0.90 claim-level confidence: Local, Gemini, and Pass C agree that toy shelves, streets, drawer contents, hatching, and the catastrophe spread sustain high density 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/hyoryu-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six entry pages from an official bunko alternate edition rather than the frozen standard ISBN; confidence covers broad line and panel traits, not print-identical reproduction"
