id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-one-piece,one-piece,work,one-piece,model,https://books.shueisha.co.jp/items/contents.html?isbn=4-08-872509-3,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-naruto,naruto,work,naruto,model,https://books.shueisha.co.jp/items/contents.html?isbn=4-08-872840-8,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-dragon-ball,dragon-ball,work,dragon-ball,model,https://books.shueisha.co.jp/items/contents.html?isbn=4088518314,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-attack-on-titan,attack-on-titan,work,attack-on-titan,model,https://www.kodansha.co.jp/comic/products/0000017064,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,講談社 1권 서지·목차·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-demon-slayer,demon-slayer,work,demon-slayer,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-880723-2,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-jujutsu-kaisen,jujutsu-kaisen,work,jujutsu-kaisen,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-881516-9,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-my-hero-academia,my-hero-academia,work,my-hero-academia,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-880264-0,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-hunter-x-hunter,hunter-x-hunter,work,hunter-x-hunter,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-872571-0,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-jojo-bizarre-adventure,jojo-bizarre-adventure,work,jojo-bizarre-adventure,model,https://books.shueisha.co.jp/items/contents.html?isbn=4-08-851126-3,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.90,集英社 1권 서지·공식 소개와 원제 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-berserk,berserk,work,berserk,model,https://www.hakusensha.co.jp/comicslist/40773/,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,白泉社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-vinland-saga,vinland-saga,work,vinland-saga,model,https://www.kodansha.co.jp/comic/products/0000029270,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,講談社 1권 서지·목차·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-vagabond,vagabond,work,vagabond,model,https://www.kodansha.co.jp/comic/products/0000007491,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.90,講談社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-golden-kamuy,golden-kamuy,work,golden-kamuy,model,https://books.shueisha.co.jp/items/contents.html?jdcn=08890082890082315501,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·목차·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
