workId,axisId,state,value,confidence,refs,observation,limitation
work-048a39f42bd18cb0823e,artRealism,known,3,0.86,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","Pages 9-10 show proportionate seated and reclining adult bodies with articulated hands; pages 12-14 keep coherent torso and limb scale around a motorcycle and perspective-drawn buildings. Enlarged eyes and comic facial exaggeration remain visible, placing the six-page sample between general stylization and full realism.","Licensed digital-remaster volume 1 uses the frozen ISBN and original manuscript data, but remastering can alter reproduction and tone. Only opening body pages 9-14 were sampled; added end matter was excluded."
work-048a39f42bd18cb0823e,artDensity,known,3,0.91,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","Pages 9-10 include apartment furniture, electronics, bedding, and small prop panels; page 11 adds a city skyline and pages 12-14 repeat facade, signage, and motorcycle detail. Open fields around some close-ups keep the sample above balanced rather than uniformly maximal.","Licensed digital-remaster volume 1 uses the frozen ISBN and original manuscript data, but remastering can alter reproduction and tone. Only opening body pages 9-14 were sampled; added end matter was excluded."
work-048a39f42bd18cb0823e,visualSoftness,known,2,0.86,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","Faces and hair on pages 9 and 13 use clean curves, while the room woodwork and electronics on page 10 and the buildings and motorcycle on pages 12-14 use firm angular contours and hard black-white separation. Neither roughness nor softness dominates across the sample.","Licensed digital-remaster volume 1 uses the frozen ISBN and original manuscript data, but remastering can alter reproduction and tone. Only opening body pages 9-14 were sampled; added end matter was excluded."
work-048a39f42bd18cb0823e,motionImpact,unknown,,,"reader-step-04(p009-p010);reader-step-05(p011-p012);reader-step-06(p013-p014)","The captures contain isolated gestures and a static motorcycle pose, but no exact bounded sequence with a start, development, impact, and resolved end. The recovery preflight therefore marks motionGateAttemptable=false, so no numeric value is inferred.","The six-page opening sample was collected for static Art only; no eligible continuous action sequence was isolated."
work-04f35b4c99514d50231d,artRealism,known,1,0.91,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","Step 04 repeatedly enlarges mouths and eyes and flattens facial structure; steps 12 and 20 continue elongated or schematic heads and limbs even in office and shop scenes. Bodies and locations remain recognizable, so the sample sits between strong deformation and ordinary stylization.","Licensed complete-edition volume 1 carries the frozen ISBN and states that its body is unchanged, but added commentary and color-enhancement material were excluded. The review covers six monochrome opening body pages in three contexts only."
work-04f35b4c99514d50231d,artDensity,known,3,0.88,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","The station and train panels at step 04, office furniture and boards at step 12, and record racks and album displays at step 20 combine with frequent small panels, screentone, and line effects to create high information density. Isolated face close-ups keep it short of uniformly maximal density.","Licensed complete-edition volume 1 carries the frozen ISBN and states that its body is unchanged, but added commentary and color-enhancement material were excluded. The review covers six monochrome opening body pages in three contexts only."
work-04f35b4c99514d50231d,visualSoftness,known,0,0.94,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","Jagged comic expressions, scratchy hatching, hard black silhouettes, and radiating stress lines recur in the station, office, and record-store pages. The dominant treatment is rough and angular rather than neutral or soft.","Licensed complete-edition volume 1 carries the frozen ISBN and states that its body is unchanged, but added commentary and color-enhancement material were excluded. The review covers six monochrome opening body pages in three contexts only."
work-04f35b4c99514d50231d,motionImpact,unknown,,,"reader-step-04(left,right);reader-step-12(left,right);reader-step-20(left,right)","The captures show isolated running or gesturing poses separated by unrelated contexts, not one bounded continuous action sequence. The recovery preflight marks motionGateAttemptable=false, so no numeric value is inferred.","The six-page sample was selected for static Art and provides no eligible start-to-resolved-end action sequence."
work-07faf4019b12de5e877d,artRealism,known,3,0.88,"reader-step-09(left,right);reader-step-10(left,right);reader-step-12(left,right)","Step 09 renders hands, legs, clothing, and adult-child scale with plausible anatomy; step 10 preserves coherent reclining, sitting, and standing body poses; step 12 keeps consistent profiles and relative proportions. Enlarged eyes and occasional simplified comic faces retain visible stylization, placing the sample between 2 and 4.","The current Kodansha volume 1 is bridged to the frozen Futabasha volume through unchanged prior body content and a cover-only renewal. This supports body Art, not identical pagination, publisher design, or metadata; only six sampled body pages were reviewed."
work-07faf4019b12de5e877d,artDensity,known,1,0.91,"reader-step-09(left,right);reader-step-10(left,right);reader-step-12(left,right)","Large uninked fields surround the park close-ups at step 09 and the bed and interior panels at step 10; step 12 also limits backgrounds to selected fence, foliage, and tone fields. Fine clothing lines and screentone keep the sample above fully minimal density, but whitespace remains dominant.","The current Kodansha volume 1 is bridged to the frozen Futabasha volume through unchanged prior body content and a cover-only renewal. This supports body Art, not identical pagination, publisher design, or metadata; only six sampled body pages were reviewed."
